Upper_Colorado,Gunnison,Yampa ,White ,SanJuan_Dolores
8108354,2430179,1698372,597167,820567
4713185,2152372,1407402,552658,820567
6230087,3707460,1639704,575457,1137821
8359910,4038722,2031026,737700,996539
5214390,2649793,1268585,509408,698890
8961387,3262250,1795329,630349,1215443
4494044,2447715,1191220,483909,995025
6467346,3360308,1940755,633738,1503216
7997097,3409822,3124066,747376,1187178
7152511,2589339,1918740,630160,562744
4647693,2228215,1444268,509424,793599
7540033,3582118,2353576,730927,1275010
7407334,3317472,2659188,878282,1379328
6080722,2835260,1701337,635135,1302493
6896761,2993129,2055397,632007,1101784
6041937,2500891,1458620,566637,953660
5144710,2297418,1502161,609095,802265
6423231,2535299,1706682,654345,1162040
6562055,3003191,1992427,642114,1048733
6821270,3025739,2227750,765846,889131
7498422,3622298,2953417,885014,1006030
5660466,2641571,1592117,637314,800210
3393812,1303834,1261313,506032,362914
6409296,2848839,2059052,701355,1167154
5435323,2017641,1595497,635593,505059
3070746,1120495,644646,380199,316774
4692490,1976567,1371796,509723,726756
6134540,2336286,1699498,568189,829605
4481625,2035574,1435272,469181,947540
6910389,3084588,1826712,648433,1082205
4778149,1914348,1403856,515986,558655
3669927,1543871,1297860,502903,632413
5212386,2930516,1502881,602772,1528976
6293724,3441931,1758968,627719,1775808
5078197,2369668,1384171,521678,785093
4654802,2732565,1324861,544412,1182807
5105043,2416498,1883070,610498,852515
4281294,1819234,1317165,507931,491069
6169083,2478568,1965060,711038,719945
5734278,2940476,1764085,611899,1042273
5750408,2701653,1955052,678398,1021459
4614474,1869875,1450484,576064,565342
4918310,1694479,1543377,590545,310769
7837021,3218451,2133182,765589,1286503
4601067,1808889,1289407,607205,452325
2747852,1158425,846402,436409,353390
3815603,1547101,1199370,486980,547590
4286495,1609869,1568287,540605,460538
8655433,3861680,2623861,822704,1052772
6255006,2922852,1876734,707357,1116569
3951754,1493003,1263605,539685,395314
4790590,1963278,1495479,530875,758915
3677481,1580681,988306,448489,552843
7244175,2812350,2175371,725272,799674
3307716,1423204,999204,459454,476978
4122297,1953042,1333961,529973,513915
7097081,3177198,1963316,649845,903886
3645759,1896552,1098319,446736,693713
3960980,1722358,1389130,471616,416748
4854819,2206573,1732015,550038,659924
5343884,2524145,1647455,562475,821471
6605101,2962157,2027349,647678,728584
6339578,2566517,2172304,637718,640297
4366737,1692261,1407448,544704,457006
6485075,2930511,1837492,641436,1234474
5337329,2101774,2129518,605921,567957
5883770,2558498,1858955,650947,974071
4290022,1735941,1287386,548870,573319
2482750,799467,617663,288400,220061
5425570,2527304,2218309,594582,834027
6914536,2965875,1980667,607471,1034802
6302250,2847664,1919534,585066,926623
3525871,1202481,902599,389110,377046
5931046,2731062,2064036,625505,918133
9178226,3707413,2602146,867473,1270808
10769564,4371607,3270531,1016973,1267304
8766261,3716294,2481839,899908,1298874
8691327,3469363,2622836,826181,1209173
6004252,3000140,1293744,576919,1175396
4516226,1719750,1496698,546403,585394
3840940,1649636,1014808,490676,687392
3292675,1331124,1070617,396445,347523
4704980,2109966,1286519,503344,647076
4357570,1985633,935284,435451,732429
7524881,3429768,1955478,673656,1244615
4300710,1882075,1058080,415613,562193
8428830,3950652,2233623,743124,1124346
6548004,2487579,2321370,660216,481205
8298854,3481396,2548599,757954,1310929
6320549,2538337,2353510,791999,849069
5341061,2355784,1851692,634704,895526
4488893,1818558,1435322,528817,601080
3854249,1784923,1203988,528698,645252
2334556,895755,663349,345696,162966
4209248,1600849,1472256,508437,470236
3345959,1592796,1106731,435205,627554
5763498,2493824,1822855,590762,1116652
5073000,2065747,1586491,633187,490835
4803170,2200445,1258767,474266,829695
7355841,3078908,2108206,637963,973359
6111011,2437372,2041633,610301,789230
4651369,1943203,1747657,538702,682639
8047496,2887303,3425401,867419,656212
3024404,1086317,879642,432161,481449
3566420,1387031,1025800,420401,336360
